transaction_id,timestamp,merchant,user_id,location,category,amount,is_fraud
TXN00008075,2025-08-02 02:29:38.675995,amazon,USER0268,philadelphia,retail,39.84,0
TXN00006519,2025-08-02 02:40:27.675995,trader joes,USER0844,san antonio,grocery,49.76,0
TXN00009721,2025-08-02 02:42:30.675995,cvs,USER0919,new york,healthcare,44.05,0
TXN00008526,2025-08-02 02:44:05.675995,delta airlines,USER0756,chicago,travel,22.45,0
TXN00007616,2025-08-02 02:56:53.675995,starbucks,USER0311,austin,restaurant,40.26,0
TXN00000728,2025-08-02 03:13:29.675995,safeway,USER0565,austin,grocery,17.33,0
TXN00008169,2025-08-02 03:23:44.675995,lyft,USER0044,online,transportation,74.6,1
TXN00000234,2025-08-02 03:36:41.675995,bestbuy,USER0888,san diego,retail,433.86,0
TXN00004706,2025-08-02 03:51:14.675995,cvs,USER0874,dallas,healthcare,179.17,0
TXN00005412,2025-08-02 03:52:17.675995,starbucks,USER0915,san diego,restaurant,13.24,0
TXN00008351,2025-08-02 03:57:22.675995,shell,USER0851,dallas,gas,16.98,0
TXN00009764,2025-08-02 04:14:38.675995,shell,USER0473,los angeles,gas,39.58,0
TXN00004742,2025-08-02 04:48:36.675995,trader joes,USER0658,dallas,grocery,33.18,0
TXN00001400,2025-08-02 04:57:39.675995,uber,USER0174,international,transportation,9.43,0
TXN00007434,2025-08-02 05:04:32.675995,shell,USER0228,phoenix,gas,19.27,0
TXN00005529,2025-08-02 05:15:51.675995,airbnb,USER0538,chicago,travel,29.02,0
TXN00005103,2025-08-02 05:41:08.675995,starbucks,USER0287,philadelphia,restaurant,36.37,0
TXN00002622,2025-08-02 05:55:26.675995,starbucks,USER0221,los angeles,restaurant,36.62,0
TXN00009301,2025-08-02 05:57:45.675995,cvs,USER0337,philadelphia,healthcare,91.49,0
TXN00000679,2025-08-02 06:13:11.675995,shell,USER0107,houston,gas,152.3,0
TXN00005480,2025-08-02 06:28:05.675995,delta airlines,USER0950,san antonio,travel,347.86,0
TXN00000391,2025-08-02 07:18:04.675995,uber,USER0128,san antonio,transportation,59.76,0
TXN00006558,2025-08-02 07:23:53.675995,walmart,USER0378,austin,retail,75.37,0
TXN00004655,2025-08-02 08:02:29.675995,whole foods,USER0785,online,grocery,439.62,0
TXN00001483,2025-08-02 08:15:22.675995,mcdonalds,USER0728,san diego,restaurant,20.5,0
TXN00005010,2025-08-02 08:15:50.675995,mcdonalds,USER0123,san diego,restaurant,225.42,0
TXN00001269,2025-08-02 08:30:49.675995,target,USER0501,los angeles,retail,145.96,0
TXN00006311,2025-08-02 08:39:32.675995,lyft,USER0339,los angeles,transportation,141.82,0
TXN00001895,2025-08-02 08:53:10.675995,walmart,USER0094,dallas,retail,21.24,0
TXN00003570,2025-08-02 09:18:19.675995,shell,USER0446,san jose,gas,23.17,0
TXN00000206,2025-08-02 09:50:27.675995,netflix,USER0801,online,entertainment,61.44,0
TXN00003623,2025-08-02 10:22:20.675995,whole foods,USER0716,los angeles,grocery,35.03,0
TXN00009156,2025-08-02 10:30:40.675995,expedia,USER0078,chicago,travel,48.2,0
TXN00000538,2025-08-02 10:32:27.675995,walmart,USER0797,jacksonville,retail,110.78,0
TXN00005617,2025-08-02 11:10:11.675995,costco,USER0321,san diego,grocery,22.39,0
